Date,Region,Manufacturer,Measure,Frequency,Value,DateLabel,DateKey
2023-02-28,European Union (EU),Alpine,YTD,M,94,2023-02,1677542400000
2023-02-28,European Union (EU),Audi,TTM,M,43004,2023-02,1677542400000
2023-02-28,European Union (EU),Audi,UNITS,M,43004,2023-02,1677542400000
2023-02-28,European Union (EU),Audi,YTD,M,43004,2023-02,1677542400000
2023-02-28,European Union (EU),BMW,TTM,M,39841,2023-02,1677542400000
2023-02-28,European Union (EU),BMW,UNITS,M,39841,2023-02,1677542400000
2023-02-28,European Union (EU),BMW,YTD,M,39841,2023-02,1677542400000
2023-02-28,European Union (EU),BMW Group,TTM,M,49709,2023-02,1677542400000
2023-02-28,European Union (EU),BMW Group,UNITS,M,49709,2023-02,1677542400000
2023-02-28,European Union (EU),BMW Group,YTD,M,49709,2023-02,1677542400000
2023-02-28,European Union (EU),Citroen,TTM,M,26851,2023-02,1677542400000
2023-02-28,European Union (EU),Citroen,UNITS,M,26851,2023-02,1677542400000
2023-02-28,European Union (EU),Citroen,YTD,M,26851,2023-02,1677542400000
2023-02-28,European Union (EU),Cupra,TTM,M,9276,2023-02,1677542400000
2023-02-28,European Union (EU),Cupra,UNITS,M,9276,2023-02,1677542400000
2023-02-28,European Union (EU),Cupra,YTD,M,9276,2023-02,1677542400000
2023-02-28,European Union (EU),DS,TTM,M,3851,2023-02,1677542400000
2023-02-28,European Union (EU),DS,UNITS,M,3851,2023-02,1677542400000
2023-02-28,European Union (EU),DS,YTD,M,3851,2023-02,1677542400000
2023-02-28,European Union (EU),Dacia,TTM,M,42372,2023-02,1677542400000
2023-02-28,European Union (EU),Dacia,UNITS,M,42372,2023-02,1677542400000
2023-02-28,European Union (EU),Dacia,YTD,M,42372,2023-02,1677542400000
2023-02-28,European Union (EU),Fiat,TTM,M,29519,2023-02,1677542400000
2023-02-28,European Union (EU),Fiat,UNITS,M,29519,2023-02,1677542400000
2023-02-28,European Union (EU),Fiat,YTD,M,29519,2023-02,1677542400000
2023-02-28,European Union (EU),Ford,TTM,M,31504,2023-02,1677542400000
2023-02-28,European Union (EU),Ford,UNITS,M,31504,2023-02,1677542400000
2023-02-28,European Union (EU),Ford,YTD,M,31504,2023-02,1677542400000
2023-02-28,European Union (EU),Honda,TTM,M,1772,2023-02,1677542400000
2023-02-28,European Union (EU),Honda,UNITS,M,1772,2023-02,1677542400000
2023-02-28,European Union (EU),Honda,YTD,M,1772,2023-02,1677542400000
2023-02-28,European Union (EU),Hyundai,TTM,M,32819,2023-02,1677542400000
2023-02-28,European Union (EU),Hyundai,UNITS,M,32819,2023-02,1677542400000
2023-02-28,European Union (EU),Hyundai,YTD,M,32819,2023-02,1677542400000
2023-02-28,European Union (EU),Hyundai Group,TTM,M,67738,2023-02,1677542400000
2023-02-28,European Union (EU),Hyundai Group,UNITS,M,67738,2023-02,1677542400000
2023-02-28,European Union (EU),Hyundai Group,YTD,M,67738,2023-02,1677542400000
2023-02-28,European Union (EU),Jaguar,TTM,M,750,2023-02,1677542400000
2023-02-28,European Union (EU),Jaguar,UNITS,M,750,2023-02,1677542400000
2023-02-28,European Union (EU),Jaguar,YTD,M,750,2023-02,1677542400000
2023-02-28,European Union (EU),Jaguar Land Rover Group,TTM,M,4948,2023-02,1677542400000
2023-02-28,European Union (EU),Jaguar Land Rover Group,UNITS,M,4948,2023-02,1677542400000
2023-02-28,European Union (EU),Jaguar Land Rover Group,YTD,M,4948,2023-02,1677542400000
2023-02-28,European Union (EU),Jeep,TTM,M,9217,2023-02,1677542400000
2023-02-28,European Union (EU),Jeep,UNITS,M,9217,2023-02,1677542400000
2023-02-28,European Union (EU),Jeep,YTD,M,9217,2023-02,1677542400000
2023-02-28,European Union (EU),Kia,TTM,M,34919,2023-02,1677542400000
2023-02-28,European Union (EU),Kia,UNITS,M,34919,2023-02,1677542400000
